ID,FIRST_NAME,LAST_NAME,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_CITY,FROM_YEAR,TO_YEAR,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PTS,AST,REB,PIE,FULL_NAME,IS_ACTIVE,OD,Attratio,Defratio,ALLSTAR
76003,Kareem,Abdul-Jabbar,1947-04-16T00:00:00,UCLA,USA,UCLA/USA,86.0,225.0,19,Center,Inactive,1610612747,Lakers,Los Angeles,1969,1988,1969,1,1,24.6,3.6,11.2,,Kareem Abdul-Jabbar,No,4.783139086294415,0.715736040609137,0.2842639593908629,19.0
977,Kobe,Bryant,1978-08-23T00:00:00,Lower Merion HS (PA)/USA,USA,Lower Merion HS (PA)/USA,78.0,212.0,19,Forward-Guard,Inactive,1610612747,Lakers,Los Angeles,1996,2015,1996,1,13,25.0,4.7,5.2,,Kobe Bryant,No,3.3263610315186245,0.8510028653295129,0.1489971346704871,18.0
1495,Tim,Duncan,1976-04-25T00:00:00,Wake Forest,US Virgin Islands,Wake Forest/US Virgin Islands,83.0,250.0,19,Center-Forward,Inactive,1610612759,Spurs,San Antonio,1997,2015,1997,1,1,19.0,3.0,10.8,,Tim Duncan,No,3.565975609756098,0.6707317073170732,0.3292682926829269,15.0
708,Kevin,Garnett,1976-05-19T00:00:00,Farragut Academy HS (IL),USA,Farragut Academy HS (IL)/USA,83.0,240.0,21,Forward,Inactive,1610612750,Timberwolves,Minnesota,1995,2015,1995,1,5,17.8,3.7,10.0,,Kevin Garnett,No,4.390666666666667,0.6825396825396826,0.31746031746031744,15.0
1717,Dirk,Nowitzki,1978-06-19T00:00:00, ,Germany,DJK Wurzburg/Germany,84.0,245.0,21,Forward,Inactive,1610612742,Mavericks,Dallas,1998,2018,1998,1,9,20.7,2.4,7.5,,Dirk Nowitzki,No,2.557058823529412,0.7549019607843137,0.2450980392156863,14.0
76375,Wilt,Chamberlain,1936-08-21T00:00:00,Kansas,USA,Kansas/USA,85.0,250.0,13,Center,Inactive,1610612744,Warriors,San Francisco,1959,1972,1959,None,None,30.1,4.4,22.9,,Wilt Chamberlain,No,6.8688829268292695,0.6010452961672474,0.3989547038327526,13.0
893,Michael,Jordan,1963-02-17T00:00:00,North Carolina,USA,North Carolina/USA,78.0,216.0,14,Guard,Inactive,1610612741,Bulls,Chicago,1984,2002,1984,1,3,30.1,5.3,6.2,,Michael Jordan,No,3.3286548076923075,0.8509615384615384,0.14903846153846154,14.0
600003,Bob,Cousy,1928-08-09T00:00:00,Holy Cross,USA,Holy Cross/USA,73.0,175.0,13,Guard,Inactive,1610612738,Celtics,Boston,1950,1969,1950,1,3,18.4,7.5,5.2,,Bob Cousy,No,2.999614147909968,0.8327974276527331,0.1672025723472669,13.0
76970,John,Havlicek,1940-04-08T00:00:00,Ohio State,USA,Ohio State/USA,77.0,203.0,15,Forward,Inactive,1610612738,Celtics,Boston,1962,1977,1962,1,7,20.8,4.8,6.3,,John Havlicek,No,2.95764263322884,0.8025078369905956,0.19749216300940436,13.0
406,Shaquille,O'Neal,1972-03-06T00:00:00,Louisiana State,USA,Louisiana State/USA,85.0,325.0,18,Center,Inactive,1610612747,Lakers,Los Angeles,1992,2010,1992,1,1,23.7,2.5,10.9,,Shaquille O'Neal,No,3.1333827493261457,0.706199460916442,0.29380053908355797,15.0
165,Hakeem,Olajuwon,1963-01-21T00:00:00,Houston,Nigeria,Houston/Nigeria,84.0,255.0,18,Center,Inactive,1610612745,Rockets,Houston,1984,2002,1984,1,1,21.8,2.5,11.1,,Hakeem Olajuwon,No,3.076016949152542,0.6864406779661018,0.3135593220338983,12.0
78049,Bill,Russell,1934-02-12T00:00:00,San Francisco,USA,San Francisco/USA,82.0,215.0,12,Center,Inactive,1610612738,Celtics,Boston,1956,1968,1956,1,2,15.1,4.3,22.5,,Bill Russell,No,4.184033412887827,0.4630071599045346,0.5369928400954654,12.0
600015,Oscar,Robertson,1938-11-24T00:00:00,Cincinnati,USA,Cincinnati/USA,77.0,205.0,13,Guard,Inactive,1610612758,Royals,Cincinnati,1960,1973,1960,1,1,25.7,9.5,7.5,,Oscar Robertson,No,5.574853629976581,0.8243559718969555,0.1756440281030445,12.0
2548,Dwyane,Wade,1982-01-17T00:00:00,Marquette,USA,Marquette/USA,76.0,220.0,16,Guard,Inactive,1610612748,Heat,Miami,2003,2018,2003,1,5,22.0,5.4,4.7,,Dwyane Wade,No,2.7831028037383185,0.8535825545171338,0.14641744548286603,13.0
76979,Elvin,Hayes,1945-11-17T00:00:00,Houston,USA,Houston/USA,81.0,235.0,15,Forward,Inactive,1610612764,Bullets,Washington,1968,1983,1968,1,1,21.0,1.8,12.5,,Elvin Hayes,No,2.007790368271955,0.6458923512747876,0.3541076487252125,12.0
252,Karl,Malone,1963-07-24T00:00:00,Louisiana Tech,USA,Louisiana Tech/USA,81.0,259.0,19,Forward,Inactive,1610612762,Jazz,Utah,1985,2003,1985,1,13,25.0,3.6,10.1,,Karl Malone,No,4.462790697674418,0.7390180878552971,0.2609819121447028,14.0
78497,Jerry,West,1938-05-28T00:00:00,West Virginia,USA,West Virginia/USA,75.0,175.0,13,Guard,Inactive,1610612747,Lakers,Los Angeles,1960,1973,1960,1,2,27.0,6.7,5.8,,Jerry West,No,3.4531291139240508,0.8531645569620254,0.1468354430379747,14.0
78076,Dolph,Schayes,1928-05-19T00:00:00,New York University,USA,New York University/USA,80.0,195.0,14,Forward,Inactive,1610612755,76ers,Philadelphia,1949,1963,1948,1,4,18.5,3.1,12.1,,Dolph Schayes,No,2.8828160237388722,0.6409495548961425,0.35905044510385753,12.0
76681,Julius,Erving,1950-02-22T00:00:00,Massachusetts,USA,Massachusetts/USA,79.0,200.0,10,Forward,Inactive,1610612755,76ers,Philadelphia,1976,1986,1972,1,12,22.0,3.9,6.7,,Julius Erving,No,1.7633742331288345,0.7944785276073619,0.20552147239263804,11.0
77142,Magic,Johnson,1959-08-14T00:00:00,Michigan State,USA,Michigan State/USA,81.0,220.0,12,Forward-Guard,Inactive,1610612747,Lakers,Los Angeles,1979,1995,1979,1,1,19.5,11.2,7.2,,Magic Johnson,No,4.978828496042216,0.8100263852242744,0.1899736147757256,12.0
77449,Moses,Malone,1955-03-23T00:00:00,Petersburg HS (VA),USA,Petersburg HS (VA)/USA,82.0,215.0,18,Center,Inactive,1610612745,Rockets,Houston,1976,1994,Undrafted,Undrafted,Undrafted,20.6,1.4,12.2,,Moses Malone,No,1.851831578947368,0.6432748538011696,0.35672514619883033,12.0
78318,Isiah,Thomas,1961-04-30T00:00:00,Indiana,USA,Indiana/USA,73.0,180.0,12,Guard,Inactive,1610612765,Pistons,Detroit,1981,1993,1981,1,2,19.2,9.3,3.6,,Isiah Thomas,No,2.4030504672897197,0.8878504672897196,0.11214953271028037,12.0
76127,Elgin,Baylor,1934-09-16T00:00:00,Seattle,USA,Seattle/USA,77.0,225.0,13,Forward,Inactive,1610612747,Lakers,Los Angeles,1958,1971,1958,1,1,27.4,4.3,13.5,,Elgin Baylor,No,4.574648230088496,0.7013274336283185,0.2986725663716814,11.0
77847,Bob,Pettit,1932-12-12T00:00:00,Louisiana State,USA,Louisiana State/USA,81.0,205.0,10,Forward,Inactive,1610612737,Hawks,St. Louis,1954,1964,1954,1,2,26.4,3.0,16.2,,Bob Pettit,No,2.813684210526316,0.6447368421052632,0.3552631578947369,11.0
1449,Larry,Bird,1956-12-07T00:00:00,Indiana State,USA,Indiana State/USA,81.0,220.0,12,Forward,Inactive,1610612738,Celtics,Boston,1979,1991,1978,1,6,24.3,6.3,10.0,,Larry Bird,No,4.524827586206897,0.7536945812807881,0.24630541871921183,12.0
951,Ray,Allen,1975-07-20T00:00:00,Connecticut,USA,Connecticut/USA,77.0,205.0,17,Guard,Inactive,1610612749,Bucks,Milwaukee,1996,2013,1996,1,5,18.9,3.4,4.1,,Ray Allen,No,1.6965613636363635,0.8446969696969696,0.1553030303030303,10.0
764,David,Robinson,1965-08-06T00:00:00,Navy,USA,Navy/USA,85.0,250.0,13,Center,Inactive,1610612759,Spurs,San Antonio,1989,2002,1987,1,1,21.1,2.5,10.6,,David Robinson,No,2.125423976608187,0.6900584795321637,0.30994152046783624,10.0
1718,Paul,Pierce,1977-10-13T00:00:00,Kansas,USA,Kansas/USA,79.0,235.0,19,Forward,Inactive,1610612738,Celtics,Boston,1998,2016,1998,1,10,19.7,3.5,5.6,,Paul Pierce,No,2.5473194444444447,0.8055555555555556,0.19444444444444445,10.0
76882,Hal,Greer,1936-06-26T00:00:00,Marshall,USA,Marshall/USA,74.0,175.0,14,Guard,Inactive,1610612755,76ers,Philadelphia,1958,1972,1958,2,13,19.2,4.0,5.0,,Hal Greer,No,1.9063829787234043,0.8226950354609929,0.1773049645390071,10.0
304,John,Stockton,1962-03-26T00:00:00,Gonzaga,USA,Gonzaga/USA,73.0,175.0,18,Guard,Inactive,1610612762,Jazz,Utah,1984,2002,1984,1,16,13.1,10.5,2.7,,John Stockton,No,2.5417984790874524,0.8973384030418251,0.10266159695817491,10.0
947,Allen,Iverson,1975-06-07T00:00:00,Georgetown,USA,Georgetown/USA,72.0,165.0,14,Guard,Inactive,1610612755,76ers,Philadelphia,1996,2009,1996,1,1,26.7,6.2,3.7,,Allen Iverson,No,2.3428885245901645,0.8989071038251365,0.10109289617486339,11.0
76056,Paul,Arizin,1928-04-09T00:00:00,Villanova,USA,Villanova/USA,76.0,190.0,9,Forward,Inactive,1610612744,Warriors,Philadelphia,1950,1961,1950,None,None,22.8,2.3,8.6,,Paul Arizin,No,1.204408308605341,0.744807121661721,0.2551928783382789,10.0
467,Jason,Kidd,1973-03-23T00:00:00,California,USA,California/USA,76.0,210.0,18,Guard,Inactive,1610612751,Nets,New Jersey,1994,2012,1994,1,2,12.6,8.7,6.3,,Jason Kidd,No,4.503952173913043,0.7717391304347826,0.2282608695652174,10.0
17,Clyde,Drexler,1962-06-22T00:00:00,Houston,USA,Houston/USA,79.0,222.0,14,Guard,Inactive,1610612757,Trail Blazers,Portland,1983,1997,1983,1,14,20.4,5.6,6.1,,Clyde Drexler,No,3.0392822429906534,0.8099688473520249,0.19003115264797507,10.0
56,Gary,Payton,1968-07-23T00:00:00,Oregon State,USA,Oregon State/USA,76.0,190.0,17,Guard,Inactive,1610612760,SuperSonics,Seattle,1990,2006,1990,1,2,16.3,6.7,3.9,,Gary Payton,No,2.6916814126394053,0.8550185873605949,0.1449814126394052,9.0
78530,Lenny,Wilkens,1937-10-28T00:00:00,Providence,USA,Providence/USA,73.0,180.0,14,Guard,Inactive,1610612737,Hawks,St. Louis,1960,1974,1960,1,6,16.5,6.7,4.7,,Lenny Wilkens,No,2.607236559139785,0.8315412186379928,0.16845878136200718,9.0
121,Patrick,Ewing,1962-08-05T00:00:00,Georgetown,Jamaica,Georgetown/Jamaica,84.0,255.0,16,Center,Inactive,1610612752,Knicks,New York,1985,2001,1985,1,1,21.0,1.9,9.8,,Patrick Ewing,No,1.9132477064220184,0.7003058103975535,0.2996941896024465,11.0
201607,Patrick,Ewing,1984-05-20T00:00:00,Georgetown,USA,Georgetown/USA,80.0,235.0,1,Forward,Inactive,1610612740,Hornets,New Orleans,2010,2010,2008,2,43,0.4,0.3,0.3,,Patrick Ewing,No,0.00035999999999999997,0.7,0.3,0.0
787,Charles,Barkley,1963-02-20T00:00:00,Auburn,USA,Auburn/USA,78.0,252.0,15,Forward,Inactive,1610612755,76ers,Philadelphia,1984,1999,1984,1,5,22.1,3.9,11.7,,Charles Barkley,No,4.0122931034482745,0.689655172413793,0.31034482758620685,11.0
2547,Chris,Bosh,1984-03-24T00:00:00,Georgia Tech,USA,Georgia Tech/USA,83.0,235.0,13,Forward,Inactive,1610612748,Heat,Miami,2003,2016,2003,1,4,19.2,2.0,8.5,,Chris Bosh,No,1.4286868686868686,0.7138047138047138,0.2861952861952862,11.0
305,Robert,Parish,1953-08-30T00:00:00,Centenary-Louisiana,USA,Centenary-Louisiana/USA,85.0,244.0,20,Center,Inactive,1610612738,Celtics,Boston,1976,1996,1976,1,8,14.5,1.4,9.1,,Robert Parish,No,1.4778399999999998,0.636,0.364,9.0
76804,George,Gervin,1952-04-27T00:00:00,Eastern Michigan,USA,Eastern Michigan/USA,79.0,180.0,9,Guard,Inactive,1610612759,Spurs,San Antonio,1976,1985,1974,3,40,26.2,2.8,4.6,,George Gervin,No,0.9038999999999999,0.863095238095238,0.1369047619047619,9.0
78126,Bill,Sharman,1926-05-25T00:00:00,Southern California,USA,Southern California/USA,73.0,175.0,10,Guard,Inactive,1610612738,Celtics,Boston,1950,1960,1950,2,None,17.8,3.0,3.9,,Bill Sharman,No,0.8431578947368422,0.8421052631578948,0.15789473684210525,8.0
600005,Bob,Lanier,1948-09-10T00:00:00,St. Bonaventure,USA,St. Bonaventure/USA,83.0,250.0,13,Center,Inactive,1610612765,Pistons,Detroit,1970,1983,1970,1,1,20.1,3.1,10.1,,Bob Lanier,No,2.4568477477477475,0.6966966966966966,0.30330330330330324,8.0
87,Dikembe,Mutombo,1966-06-25T00:00:00,Georgetown,Congo,Georgetown/Congo,86.0,260.0,18,Center,Inactive,1610612743,Nuggets,Denver,1991,2008,1991,1,4,9.8,1.0,10.3,,Dikembe Mutombo,No,0.8610995260663509,0.5118483412322274,0.4881516587677725,8.0
1122,Dominique,Wilkins,1960-01-12T00:00:00,Georgia,USA,Georgia/USA,80.0,230.0,14,Forward,Inactive,1610612737,Hawks,Atlanta,1982,1998,1982,1,3,24.8,2.5,6.7,,Dominique Wilkins,No,1.7104705882352942,0.8029411764705883,0.19705882352941176,9.0
76545,Dave,DeBusschere,1940-10-16T00:00:00,Detroit,USA,Detroit/USA,78.0,220.0,11,Forward,Inactive,1610612765,Pistons,Detroit,1962,1973,1962,None,None,16.1,2.9,11.0,,Dave DeBusschere,No,1.8831633333333335,0.6333333333333333,0.36666666666666664,8.0
76673,Alex,English,1954-01-05T00:00:00,South Carolina,USA,South Carolina/USA,80.0,190.0,14,Forward,Inactive,1610612743,Nuggets,Denver,1976,1990,1976,2,23,21.5,3.6,5.5,,Alex English,No,1.9476470588235297,0.8202614379084967,0.17973856209150327,8.0
78149,Jack,Sikma,1955-11-14T00:00:00,Illinois Wesleyan,USA,Illinois Wesleyan/USA,83.0,230.0,13,Center,Inactive,1610612760,SuperSonics,Seattle,1977,1990,1977,1,8,15.6,3.2,9.8,,Jack Sikma,No,2.2237090909090913,0.6573426573426573,0.34265734265734266,7.0
77418,Jerry,Lucas,1940-03-30T00:00:00,Ohio State,USA,Ohio State/USA,80.0,230.0,10,Forward,Inactive,1610612758,Royals,Cincinnati,1963,1973,1962,None,None,17.0,3.3,15.6,,Jerry Lucas,No,2.437771587743732,0.5654596100278552,0.43454038997214484,7.0
78510,Jojo,White,1946-11-16T00:00:00,Kansas,USA,Kansas/USA,75.0,190.0,11,Guard,Inactive,1610612738,Celtics,Boston,1969,1980,1969,1,9,17.2,4.9,4.0,,Jojo White,No,1.4208122605363984,0.8467432950191571,0.1532567049808429,7.0
1503,Tracy,McGrady,1979-05-24T00:00:00,Mount Zion Christian Academy (NC),USA,Mount Zion Christian Academy (NC)/USA,80.0,225.0,16,Guard-Forward,Inactive,1610612745,Rockets,Houston,1997,2012,1997,1,9,19.6,4.4,5.6,,Tracy McGrady,No,2.610508108108108,0.8108108108108107,0.18918918918918917,7.0
